participant;q01_formal_structure;q02_lessons_learned;q03_solution_source;q04_knowledge_base;q05_expert_finder;q06_project_knowledge;q07_hidden_knowledge_exists;q08_knowledge_utilization;q09_hidden_knowledge_value;q10_fear_of_sharing;q11_share_with_colleagues;q12_share_with_management;q13_personality_similarity;q14_extrovert_self_assessment;q15_prior_personality_test;q16_personality_test_willingness;q17_profile_use_consent;q18_ai_helpfulness;q19_ai_internal_channel_analysis;q20_ai_public_profile_analysis;q21_ai_work_content_analysis;q22_gender;q23_age_group;q24_organization_size;q25_tenure;q26_education;q27_decision_level
126;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;Periodically;Yes;25% to 50%;Large;Mostly No;Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;Yes;Male;20-30;More than 500;5-10 years;High;Low
127;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Yes;Yes;Yes;Yes;25% to 50%;Large;No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;40-50;100-500;Less than 1 year;High;High
128;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Large;No;Yes;No;Yes;No;Yes;With certain conditions Yes;With certain conditions Yes;Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Male;30-40;More than 500;5-10 years;High;Low
129;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks;No;No;Periodically;Yes;50% to 75%;Large;Mostly No;With certain compensation Yes;With certain compensation Yes;Yes;No;No;Yes;Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;Yes;Female;40-50;100-500;1-5 years;High;Low
130;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Up to a certain level Yes;Yes;No;With certain conditions Yes;Female;20-30;100-500;5-10 years;Middle;Medium
131;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;Periodically;No;Yes;25% to 50%;Very large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;Yes;Up to a certain level Yes;Yes;With certain conditions Yes;Yes;Male;40-50;More than 500;1-5 years;High;Medium
132;To some level;No;Publicly available sources on the Internet, Other publicly available knowledge sources;No;No;No;Yes;Less than 25%;Medium;Mostly Yes;Yes;Yes;Yes;No;No;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Female;More than 60;Less than 100;5-10 years;High;Low
133;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Periodically;No;We don't have such a system;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;Male;20-30;More than 500;1-5 years;High;Medium
134;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);We don't have such a system;No;We don't have such a system;Yes;Less than 25%;Large;No;Yes;Yes;It doesn't matter to me;No;No;Yes;Yes;Yes;Yes;No;Yes;Male;30-40;More than 500;1-5 years;Upper;Medium
135;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;Yes;Yes;More than 75%;Very large;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Up to a certain level Yes;With certain conditions Yes;No;With certain conditions Yes;Female;30-40;Less than 100;1-5 years;High;Medium
136;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources, Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Large;No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Female;40-50;100-500;More than 10 years;Middle;Medium
137;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.);We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Female;40-50;100-500;1-5 years;Upper;Low
138;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Very large;Mostly No;Yes;Yes;It doesn't matter to me;Yes;No;Yes;Yes;Up to a certain level Yes;With certain conditions Yes;No;Yes;Male;40-50;More than 500;1-5 years;High;Medium
139;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;No;Yes;25% to 50%;Large;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Female;30-40;100-500;1-5 years;High;Medium
140;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;No;We don't have such a system;Yes;25% to 50%;Large;Mostly No;Yes;With certain compensation Yes;Yes;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;No;No;With certain conditions Yes;Female;30-40;100-500;1-5 years;High;Medium
141;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks;Periodically;No;No;Yes;50% to 75%;Medium;No;Yes;Yes;Yes;No;Yes;Yes;No;Up to a certain level Yes;No;No;No;Female;20-30;100-500;1-5 years;Upper;Low
142;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;No;No;No;Yes;25% to 50%;Very large;Mostly Yes;Yes;With certain compensation Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;40-50;More than 500;1-5 years;High;Low
143;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;Periodically;Periodically;Yes;Less than 25%;Large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;100-500;5-10 years;Upper;Low
144;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Other;Periodically;Periodically;Periodically;Yes;Less than 25%;;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;Up to a certain level Yes;Prefer not to say;Prefer not to say;More than 500;5-10 years;High;Medium
145;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;Yes;Periodically;Yes;25% to 50%;Very large;Mostly No;Yes;Yes;It doesn't matter to me;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;30-40;More than 500;1-5 years;Middle;Medium
146;No;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;No;No;No;Yes;Less than 25%;Medium;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;Yes;Up to a certain level Yes;Yes;Yes;Yes;Female;30-40;More than 500;1-5 years;High;Low
147;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;No;No;No;No;25% to 50%;Very low;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;No;No;Female;30-40;More than 500;1-5 years;Upper;Low
148;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Other;No;Periodically;No;Yes;50% to 75%;Very large;Mostly Yes;No;Yes;Yes;No;No;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;No;Male;40-50;100-500;More than 10 years;High;Medium
149;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;No;No;No;Yes;Less than 25%;Very large;No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;No;Yes;Prefer not to say;Prefer not to say;More than 500;5-10 years;Middle;Medium
150;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;No;No;Yes;Completely unutilized;Very large;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;No;Yes;Male;30-40;More than 500;1-5 years;High;High
151;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks;No;Yes;Yes;Yes;More than 75%;Medium;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Up to a certain level Yes;No;Yes;Male;40-50;More than 500;More than 10 years;High;Medium
152;No;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks;We don't have such a system;We don't have such a system;Periodically;Yes;Less than 25%;Very large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;No;Yes;Female;30-40;More than 500;1-5 years;Upper;Medium
153;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;No;No;No;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Female;30-40;More than 500;1-5 years;High;Low
154;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;Yes;Periodically;Yes;25% to 50%;Large;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;Yes;No;Yes;Male;40-50;More than 500;1-5 years;High;High
155;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Other publicly available knowledge sources, Other;No;No;No;Yes;50% to 75%;Large;Mostly Yes;Yes;Yes;Yes;I don't want to declare;No;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;Less than 100;5-10 years;High;Medium
156;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;Periodically;No;50% to 75%;Large;Mostly No;Yes;Yes;Yes;No;No;Yes;With certain conditions Yes;Yes;Yes;Yes;Yes;Male;20-30;100-500;1-5 years;High;Medium
157;Yes;Yes;Other;Periodically;Yes;Periodically;No;25% to 50%;Medium;No;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;No;No;No;Female;50-60;More than 500;More than 10 years;High;Low
158;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;We don't have such a system;Yes;Yes;25% to 50%;Medium;Mostly Yes;Yes;Yes;Yes;I don't want to declare;No;Yes;No;Up to a certain level Yes;No;No;No;Female;30-40;More than 500;5-10 years;High;Low
159;To some level;Yes;Publicly available sources on the Internet;Yes;No;Periodically;Yes;50% to 75%;Medium;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Female;30-40;Less than 100;1-5 years;High;Medium
160;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;No;No;No;No;25% to 50%;Medium;No;With certain compensation Yes;No;Yes;No;No;Yes;Yes;Up to a certain level Yes;Yes;No;Yes;Male;30-40;100-500;1-5 years;Middle;Medium
161;To some level;No;Other publicly available knowledge sources;Periodically;No;Periodically;Yes;Less than 25%;Medium;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Female;30-40;Less than 100;1-5 years;High;Medium
162;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Yes;Yes;Yes;50% to 75%;Large;Yes;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;40-50;100-500;1-5 years;High;Medium
163;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks;Yes;No;Yes;Yes;Less than 25%;Large;Mostly Yes;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Yes;Yes;Yes;Up to a certain level Yes;Male;40-50;More than 500;More than 10 years;High;Medium
164;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;No;No;Periodically;Yes;Less than 25%;Large;Mostly No;Yes;Yes;It doesn't matter to me;No;No;With certain conditions Yes;With certain conditions Yes;Yes;Yes;No;Yes;Male;40-50;100-500;1-5 years;Middle;Medium
165;No;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;No;We don't have such a system;We don't have such a system;Yes;25% to 50%;Medium;No;Yes;Yes;Yes;No;No;With certain conditions Yes;With certain conditions Yes;Yes;No;No;Up to a certain level Yes;Female;30-40;More than 500;1-5 years;High;Low
166;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Periodically;We don't have such a system;We don't have such a system;Yes;50% to 75%;Medium;Mostly No;Yes;Yes;It doesn't matter to me;I don't want to declare;No;With certain conditions Yes;With certain conditions Yes;Yes;Yes;No;Yes;Male;40-50;More than 500;1-5 years;High;Medium
167;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.);We don't have such a system;We don't have such a system;We don't have such a system;Yes;50% to 75%;Medium;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;40-50;More than 500;More than 10 years;High;Medium
168;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Periodically;Periodically;Yes;25% to 50%;Medium;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Up to a certain level Yes;Yes;Up to a certain level Yes;Yes;Male;30-40;More than 500;5-10 years;Upper;Medium
169;No;No;Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;Periodically;Periodically;Yes;25% to 50%;Medium;Mostly Yes;Yes;Yes;It doesn't matter to me;Yes;No;Yes;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Female;40-50;Less than 100;1-5 years;High;Medium
170;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Medium;Mostly No;Yes;With certain compensation Yes;It doesn't matter to me;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;More than 60;100-500;More than 10 years;High;Low
171;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Yes;Yes;Yes;25% to 50%;Very large;No;Yes;Yes;It doesn't matter to me;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;30-40;More than 500;1-5 years;Upper;Low
172;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;No;No;Yes;25% to 50%;Large;No;Yes;With certain compensation Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;No;No;Yes;Male;20-30;100-500;Less than 1 year;High;Low
173;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;We don't have such a system;We don't have such a system;Yes;Completely unutilized;Very low;No;Yes;Yes;It doesn't matter to me;No;Yes;Yes;With certain conditions Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;More than 500;5-10 years;High;High
174;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;Yes;Yes;No;50% to 75%;Large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Yes;No;No;No;Male;20-30;More than 500;1-5 years;Upper;Low
175;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Yes;Yes;Yes;Yes;More than 75%;Very large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;No;Up to a certain level Yes;Female;40-50;Less than 100;1-5 years;High;High
176;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;Periodically;Yes;50% to 75%;Large;Mostly Yes;Yes;Yes;It doesn't matter to me;No;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;More than 500;5-10 years;Middle;Low
177;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;No;No;Yes;25% to 50%;Low;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;More than 500;1-5 years;Middle;Medium
178;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Periodically;No;Yes;No;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;Yes;Up to a certain level Yes;No;Up to a certain level Yes;Female;40-50;More than 500;More than 10 years;Upper;Low
179;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Other publicly available knowledge sources;Yes;Yes;Yes;Yes;Less than 25%;Medium;Mostly Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Female;40-50;More than 500;More than 10 years;High;High
180;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources, Other;We don't have such a system;No;No;Yes;25% to 50%;Large;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;With certain conditions Yes;Yes;No;No;Up to a certain level Yes;Male;20-30;Less than 100;1-5 years;High;High
181;No;No;Publicly available sources on the Internet;Periodically;No;No;Yes;Less than 25%;Large;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Male;40-50;More than 500;1-5 years;Upper;Low
182;No;No;Official internal collaboration channels (email, slack, teams, etc.);No;We don't have such a system;We don't have such a system;No;Completely unutilized;Very low;No;Yes;Yes;It doesn't matter to me;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Male;More than 60;Less than 100;More than 10 years;Middle;High
183;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;Yes;Yes;Yes;50% to 75%;Large;Mostly No;Yes;With certain compensation Yes;It doesn't matter to me;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;20-30;100-500;Less than 1 year;High;Medium
184;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;No;Periodically;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Yes;Up to a certain level Yes;No;Up to a certain level Yes;Female;40-50;More than 500;5-10 years;Upper;Medium
185;To some level;Periodically;Internal knowledge base system;Yes;We don't have such a system;Periodically;No;More than 75%;Large;No;With certain compensation Yes;With certain compensation Yes;Yes;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Female;40-50;Less than 100;More than 10 years;High;High
186;No;No;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;Periodically;No;No;Yes;Less than 25%;Very large;Mostly Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Yes;Up to a certain level Yes;Male;30-40;Less than 100;Less than 1 year;High;Medium
187;Yes;No;Internal knowledge base system;Periodically;No;No;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;No;No;No;No;Yes;Up to a certain level Yes;No;Yes;Male;40-50;Less than 100;More than 10 years;High;Medium